"i","t"
1148,"26303.5670"
1149,"26320.1910"
1150,"26336.7410"
1151,"26353.3510"
1152,"26370.4780"
1153,"26386.5300"
1154,"26403.2920"
1155,"26419.9030"
1156,"26436.3640"
1157,"26453.5670"
1158,"26469.6480"
1159,"26486.1480"
1160,"26502.7280"
1161,"26519.5510"
1162,"26536.1130"
1163,"26552.7210"
1164,"26569.3140"
1165,"26585.9240"
1166,"26602.7820"
1167,"26619.2640"
1168,"26635.8240"
1169,"26652.2640"
1170,"26669.1460"
1171,"26685.7600"
1172,"26702.2620"
1173,"26718.9180"
1174,"26735.6440"
1175,"26752.0240"
1176,"26768.4360"
1177,"26785.5720"
1178,"26801.6090"
1179,"26818.4390"
1180,"26834.6380"
1181,"26851.2620"
1182,"27316.2680"
1183,"27332.9320"
1184,"27349.2140"
1185,"27366.2350"
1186,"27382.3960"
1187,"27399.3070"
1188,"27415.8570"
1189,"27432.2900"
1190,"27449.3650"
1191,"27465.6630"
1192,"27482.2360"
1193,"27498.5010"
1194,"27515.0810"
1195,"27531.6150"
1196,"27548.3170"
1197,"27565.2930"
1198,"27581.8390"
1199,"27598.0960"
1200,"27614.7240"
1201,"27631.2920"
1202,"27647.7940"
1203,"27664.3460"
1204,"27680.9970"
1205,"27697.5760"
1206,"27714.1690"
1207,"27730.9350"
1208,"27747.3930"
1209,"27764.1500"
1210,"27780.5990"
1211,"27797.3210"
1212,"27813.7250"
1213,"27830.8890"
1214,"27847.1810"
1215,"27863.4690"
1216,"27880.2760"
1217,"27896.8160"
1218,"27913.7290"
1219,"27930.7820"
1220,"27946.5010"
1221,"27963.6890"
1222,"27979.8530"
1223,"27996.9870"
1224,"28012.9060"
1225,"28029.4770"
1226,"28046.1270"
1227,"28062.7060"
1228,"28079.5200"
1229,"28095.8770"
1230,"28112.6940"
1231,"28129.0850"
1232,"28146.2120"
1233,"28162.3760"
1234,"28179.4280"
1235,"28195.6390"
1236,"28212.4860"
1237,"28229.0030"
1238,"28245.7480"
1239,"28262.0300"
1240,"28278.4470"
1241,"28295.1890"
1242,"28311.7170"
1243,"28328.9410"
1244,"28345.3020"
1245,"28361.7660"
1246,"28378.3680"
1247,"28395.1660"
1248,"28411.6620"
1249,"28428.1710"
1250,"28444.7840"
1251,"28461.4320"
1252,"28478.0570"
1253,"28494.6650"
1254,"28510.8860"
1255,"28527.4580"
1256,"28544.0420"
1257,"28560.4700"
1258,"28577.1430"
1259,"28593.8770"
1260,"28610.6360"
1261,"28626.9170"
1262,"28643.4860"
1263,"28660.2080"
1264,"28676.8330"
1265,"28693.3580"
1266,"28709.9430"
1267,"28726.6460"
1268,"28743.3450"
1269,"28759.8210"
1270,"28776.2380"
1271,"28793.1200"
1272,"28809.7080"
1273,"28826.8140"
1274,"28842.6210"
