"study","analysis","participant","stimulus","viewingNumber","period","startIndex","endIndex","startTime","endTime","hullPeriod","timeStep","duration","pointCount","pointsX","pointsY","lastPointX","lastPointY","distance","distanceX","distanceY","centroidX","centroidY","centroidDistance","centroidDistanceX","centroidDistanceY","stimulusWidth","stimulusHeight","stimulusArea","area","areaDuration","averageArea","coverage","coverageDuration","averageCoverage"
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,45,55,"39116","44061",4945,913,431,11,"[189,199,220,236,164,233,209,186,127,223,213]","[175,151,199,161,331,172,304,298,515,121,217]","213","217",96.51942809610924,-10,96,188.75341084941152,281.59118077146957,5.767755454531794,4.965531007550936,-2.934366166028269,648,521,337608,4658,2007598,4523.566312869377,0.01379706642022701,5.946535627117841,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,46,56,"39496","44492",4996,431,150,11,"[199,220,236,164,233,209,186,127,223,213,283]","[151,199,161,331,172,304,298,515,121,217,159]","283","159",90.9065454189081,70,-58,205.56272147413182,264.4821639499173,23.984815619022225,16.809310624720297,-17.109016821552245,648,521,337608,1444,216600,4523.566312869377,0.004277149830572736,0.6415724745859104,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,47,57,"40260","44642",4382,150,265,11,"[220,236,164,233,209,186,127,223,213,283,257]","[199,161,331,172,304,298,515,121,217,159,113]","257","113",52.839379254491625,-26,-46,209.58070470146623,263.1174225927539,4.243431180906904,4.017983227334412,-1.3647413571634388,648,521,337608,1407,372855,4523.566312869377,0.004167555271202104,1.1044021468685576,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,47,58,"40260","44907",4647,265,249,12,"[220,236,164,233,209,186,127,223,213,283,257,189]","[199,161,331,172,304,298,515,121,217,159,113,455]","189","455",348.69470887869807,-68,342,206.7712336706942,295.2009006197334,32.20625233988617,-2.8094710307720447,32.08347802697949,648,521,337608,4810,1197690,4523.566312869377,0.014247292718182033,3.5475758868273264,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,47,59,"40260","45156",4896,249,282,13,"[220,236,164,233,209,186,127,223,213,283,257,189,220]","[199,161,331,172,304,298,515,121,217,159,113,455,190]","220","190",266.80704638371157,31,-265,206.7712336706942,295.2009006197334,0,0,0,648,521,337608,4949.5,1395759,4523.566312869377,0.014660493827160493,4.134259259259259,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,48,60,"40824","45438",4614,282,249,13,"[236,164,233,209,186,127,223,213,283,257,189,220,206]","[161,331,172,304,298,515,121,217,159,113,455,190,229]","206","229",41.43669871020132,-14,39,206.7712336706942,295.2009006197334,0,0,0,648,521,337608,4912.5,1223212.5,4523.566312869377,0.014550899267789862,3.623173917679676,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,48,61,"40824","45687",4863,249,780,14,"[236,164,233,209,186,127,223,213,283,257,189,220,206,242]","[161,331,172,304,298,515,121,217,159,113,455,190,229,64]","242","64",168.88161534045085,36,-165,208.71948843906156,285.52848592642783,9.86667637260588,1.9482547683673772,-9.67241469330554,648,521,337608,6163.5,4807530,4523.566312869377,0.01825638018056444,14.239976540840264,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,50,62,"42168","46467",4299,780,282,13,"[233,209,186,127,223,213,283,257,189,220,206,242,184]","[172,304,298,515,121,217,159,113,455,190,229,64,206]","184","206",153.3883959105121,-58,142,206.76857340826854,280.8519773141376,5.067129587665844,-1.950915030793027,-4.676508612290206,648,521,337608,3699,1043118,4523.566312869377,0.010956493921944978,3.089731285988484,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,50,63,"42168","46749",4581,282,265,14,"[233,209,186,127,223,213,283,257,189,220,206,242,184,186]","[172,304,298,515,121,217,159,113,455,190,229,64,206,181]","186","181",25.079872407968907,2,-25,206.093660182833,278.32654045133415,2.6140656475831787,-0.6749132254355459,-2.525436862803474,648,521,337608,4277.5,1133537.5,4523.566312869377,0.012670019667780384,3.357555211961802,0.013398871806560795
"Hazard Identification - Separate","5 Second Period","001_waelA","Mapping 1",1,5000,50,64,"42168","47014",4846,265,598,15,"[233,209,186,127,223,213,283,257,189,220,206,242,184,186,162]","[172,304,298,515,121,217,159,113,455,190,229,64,206,181,254]","162","254",76.84399781375251,-24,73,203.02028754178377,280.7937240477925,3.941143779334002,-3.073372641049218,2.4671835964583693,648,521,337608,2670,1596660,4523.566312869377,0.007908580365394186,4.729331058505723,0.013398871806560795
